ATSC1c,ATSC4c,ATSC7c,ATSC2v,ATSC1se,ATSC1pe,ATSC1are,ATSC1p,AATSC7dv,AATSC2Z,AATSC3Z,AATSC6Z,AATSC2v,SM1_Dzv,SM1_Dzp,MINssCH2,MINsssCH,MINdssC,ETA_dBeta,FilterItLogS
-0.717641961,-0.432138807,-0.018387448,-3599.626057,0.171161531,0.466453107,0.434682259,-2.154424407,0.158301854,-0.933797642,0.241269495,0.245543185,-11.10995697,-2.393966868,-6.493765586,-0.075137286,-0.774353272,-0.315381361,-26.75,-18.21148843
-0.353209808,0.008892053,1.77E-07,-995.5502961,-0.09154162,-0.18250062,-0.175702479,-0.17709076,-0.013059892,-0.97732312,-0.112425192,0.026446281,-12.14085727,-0.797988956,-2.164588529,0.344263642,0,-0.656551714,-6.5,-4.505855137
-0.353083134,0.009447419,0.001799707,-1235.861769,-0.086336444,-0.179828944,-0.171207133,-0.146018577,-0.041426612,-1.077105624,-0.087236961,-0.005559165,-12.35861769,-0.797988956,-2.164588529,0.331506779,0,-0.664233856,-7.5,-5.394255469
-0.869729306,-0.563373642,-0.091187706,-1465.014459,-1.153432311,-1.644301554,-2.208383961,-4.089543993,0.168062935,-0.509696154,0.296460336,-0.082486092,-10.03434561,-2.555712621,-6.472002501,-0.342115194,-1.006796765,0,-15,-5.686227424
-1.610311961,-1.063298695,-0.224979828,-2273.241297,-1.659875705,-2.218124242,-2.866915152,-3.416771196,0.375986069,-0.285709826,0.745458097,0.660701939,-9.092965189,-5.02934934,-13.52988053,-0.731843228,-2.033383858,-0.597966629,-26.25,-7.224297962
-0.416942448,-0.27999412,0.011403613,-2292.116285,-0.164581459,-0.291557673,-0.293936457,-0.090257573,-0.040848131,-1.099791647,0.19194527,-0.133082542,-11.12677808,-1.516308062,-3.765064611,-0.190520844,-0.649719426,-0.030984685,-18.25,-11.11494168
-0.424589271,-0.286083987,0.010824065,-2234.960239,-0.168716803,-0.298503819,-0.301458041,-0.063985478,-0.041564371,-1.104290249,0.240616155,-0.087933019,-11.17480119,-1.516308062,-3.765064611,-0.241770844,-0.830274981,-0.064873574,-17.25,-10.39775938
-0.812380961,-0.535541889,-0.969480339,-1554.179963,-0.650167427,-0.647120558,-1.202999051,-6.779090345,-0.052444752,-0.262257723,-0.099160207,0.485290862,-6.292226569,-2.954707099,-7.554296765,-0.331273159,-0.837926204,-0.354233443,-23.75,-13.06694216
-0.835790878,-0.462739951,-1.613409448,-207.9045177,-0.985160201,-1.142912061,-1.727720016,-5.908912288,-0.924143472,0.50255126,-0.671657769,-0.95035845,-1.563191862,-2.954707099,-7.554296765,-0.503507909,-1.21634897,-0.392131748,-14.5,-5.750267821
-0.812254437,-0.535055327,-0.969178844,-1484.71386,-0.657399069,-0.657502573,-1.214008296,-6.775759638,-0.114165806,-0.24991118,-0.126481742,0.447387127,-6.160638425,-2.954707099,-7.554296765,-0.337703961,-0.845530658,-0.365406282,-22.75,-12.35035893
-0.975855631,-0.669202783,-1.300201004,-1795.086981,-0.666815659,-0.671877599,-1.229207712,-6.77193759,-0.051117204,-0.246440383,-0.106602079,0.381724725,-6.698085749,-3.353701578,-8.636591029,-0.47182292,-1.043718416,-0.466456079,-24,-13.45189401
