ATSC1c,ATSC4c,ATSC7c,ATSC2v,ATSC1se,ATSC1pe,ATSC1are,ATSC1p,AATSC7dv,AATSC2Z,AATSC3Z,AATSC6Z,AATSC2v,SM1_Dzv,SM1_Dzp,MINssCH2,MINsssCH,MINdssC,ETA_dBeta,FilterItLogS
-0.719627147,-0.420367283,-0.017874606,-3360.527459,0.159581208,0.447913028,0.41490066,-2.087803749,0.189793756,-0.933756028,0.237778744,0.306465361,-11.2017582,-2.393966868,-6.493765586,-0.112155338,-0.801026104,-0.356137741,-22.75,-15.34670243
-0.717641961,-0.432138807,-0.018387448,-3599.626057,0.171161531,0.466453107,0.434682259,-2.154424407,0.158301854,-0.933797642,0.241269495,0.245543185,-11.10995697,-2.393966868,-6.493765586,-0.075137286,-0.774353272,-0.315381361,-26.75,-18.21148843
-0.719829628,-0.457511712,-0.074970476,-3573.169516,0.166428332,0.456933588,0.425102763,-2.107977446,0.159134588,-0.950897219,0.235089541,0.274638675,-11.23638213,-2.393966868,-6.493765586,-0.103657532,-0.798029625,-0.330867022,-24.75,-16.82419151
-0.717515287,-0.431583335,-0.016519722,-3539.602271,0.168374094,0.461996479,0.429924343,-2.138314445,0.140108833,-0.933448096,0.242462221,0.232422395,-11.13082475,-2.393966868,-6.493765586,-0.080646886,-0.780784074,-0.320154604,-25.75,-17.49529795
-0.717641961,-0.432138807,-0.018387448,-3675.753581,0.172895325,0.468269294,0.436906436,-2.155023836,0.157849619,-0.942278381,0.237722518,0.242888411,-11.13864722,-2.393966868,-6.493765586,-0.075049407,-0.774596896,-0.315014885,-27.25,-18.59214426
-0.719702954,-0.45695624,-0.07310275,-3513.997816,0.16358021,0.452346474,0.42021729,-2.091411693,0.136649563,-0.9515236,0.232671803,0.258054816,-11.26281351,-2.393966868,-6.493765586,-0.109167132,-0.804460427,-0.335640265,-23.75,-16.1080438
-0.718477896,-0.430810134,-0.020266782,-3785.272381,0.172644475,0.465112158,0.434357943,-2.126374124,0.114253006,-0.96653859,0.229919681,0.219159596,-11.26569161,-2.393966868,-6.493765586,-0.080500973,-0.781553187,-0.319185958,-26.75,-18.3008257
-0.719412849,-0.431234531,-0.016784891,-3726.155347,0.170002643,0.460841907,0.429813551,-2.110736712,0.106819777,-0.967134694,0.229419493,0.212423748,-11.29137984,-2.393966868,-6.493765586,-0.086194889,-0.787062787,-0.323361305,-25.75,-17.584734
-0.719440478,-0.429875589,-0.020300895,-3419.986599,0.162586666,0.452731115,0.420038391,-2.105016158,0.073409392,-0.933379901,0.240921188,0.216310492,-11.17642679,-2.393966868,-6.493765586,-0.089595476,-0.789732664,-0.329858719,-23.75,-16.06290496
-0.720375087,-0.429747751,-0.046708423,-3513.997816,0.16358021,0.452346474,0.42021729,-2.091411693,0.072416733,-0.9515236,0.232671803,0.204585715,-11.26281351,-2.393966868,-6.493765586,-0.095325898,-0.79524833,-0.332938836,-23.75,-16.1080438
-0.721303855,-0.428067668,-0.006133103,-3608.63508,0.164527001,0.451979775,0.420387812,-2.078466404,0.09841594,-0.969114509,0.224307638,0.192998001,-11.34790906,-2.393966868,-6.493765586,-0.101543075,-0.800968261,-0.336222909,-23.75,-16.15253956
-0.722168809,-0.430925453,-0.006493973,-3550.365187,0.16168849,0.447379756,0.415498057,-2.061812387,0.095348271,-0.970593642,0.219299743,0.188689295,-11.3793756,-2.393966868,-6.493765586,-0.10370992,-0.802946499,-0.337890965,-22.75,-15.43643681
-0.721890371,-0.482080129,-0.136392403,-3492.521044,0.158779523,0.442661329,0.41048442,-2.044797635,0.135273391,-0.972473393,0.212347162,0.278620144,-11.41346747,-2.393966868,-6.493765586,-0.132184072,-0.833702955,-0.383547793,-21.75,-14.72033035
