ATSC1c,ATSC4c,ATSC7c,ATSC2v,ATSC1se,ATSC1pe,ATSC1are,ATSC1p,AATSC7dv,AATSC2Z,AATSC3Z,AATSC6Z,AATSC2v,SM1_Dzv,SM1_Dzp,MINssCH2,MINsssCH,MINdssC,ETA_dBeta,FilterItLogS
-0.837561408,-0.461202799,-1.639917007,-617.9610404,-0.910026611,-1.085314821,-1.651267163,-5.896516525,-0.832266088,0.091544338,-0.578192449,-0.795148104,-3.791172027,-2.954707099,-7.554296765,-0.51595724,-1.234380772,-0.411074794,-15.5,-6.711307043
-0.837851901,-0.4876401,-1.666040528,-546.0614655,-0.923509726,-1.103714163,-1.671064579,-5.891731311,-0.831145443,0.111181798,-0.695837905,-0.822518105,-3.478098506,-2.954707099,-7.554296765,-0.52713008,-1.248366111,-0.444963683,-14.5,-5.994148643
-1.032312249,-0.675753606,-0.385091354,-1291.58882,-1.243636323,-1.731118188,-2.313358163,-4.091336419,0.198890112,-0.19535278,0.317093546,-0.31178056,-9.427655617,-2.954707099,-7.554296765,-0.467887692,-1.192086758,-0.385476047,-14.25,-5.152863249
-1.032185725,-0.675267055,-0.384832217,-1224.007964,-1.263559002,-1.757142361,-2.341585667,-4.082655426,0.107539367,-0.188984309,0.260710923,-0.453960905,-9.343572243,-2.954707099,-7.554296765,-0.473397292,-1.19851756,-0.396648887,-13.25,-4.435270044
-1.032312249,-0.675753606,-0.385091354,-1446.3675,-1.208188344,-1.69695525,-2.272240766,-4.091956181,0.192937186,-0.279127517,0.320582524,-0.249583333,-9.707164426,-2.954707099,-7.554296765,-0.46767075,-1.192630098,-0.383975028,-15.25,-5.93281314
-1.032185575,-0.675198134,-0.383233017,-1380.054487,-1.225610189,-1.720000657,-2.297140648,-4.083940237,0.144049633,-0.273504274,0.279026956,-0.3611659,-9.650730679,-2.954707099,-7.554296765,-0.47318035,-1.199060901,-0.395147867,-14.25,-5.215365489
-1.03314817,-0.674344261,-0.38512361,-1314.124854,-1.243978332,-1.744327424,-2.323413175,-4.075669243,0.046558954,-0.271427705,0.219619415,-0.469242243,-9.592152217,-2.954707099,-7.554296765,-0.476863579,-1.203236248,-0.401578669,-13.25,-4.497907808
-1.034373273,-0.700653666,-0.437490761,-1342.79183,-1.244302812,-1.756878369,-2.33296116,-4.061362925,0.135131255,-0.353335541,0.097315363,-0.446159391,-9.80140022,-2.954707099,-7.554296765,-0.492212988,-1.222737253,-0.443055395,-12.25,-3.841517964
-1.034044753,-0.663272406,-0.377756239,-1378.285548,-1.244611076,-1.768819,-2.342039516,-4.04827464,0.13428231,-0.44129562,-0.051193182,-0.433676471,-10.06047845,-2.954707099,-7.554296765,-0.501210709,-1.234466664,-0.472090931,-11.25,-3.183795614
-0.828616199,-0.556486245,-0.024855305,-1433.157956,-1.153432311,-1.644301554,-2.208383961,-4.089543993,0.056028881,-0.540388022,0.226471244,-0.163032628,-9.816150385,-2.555712621,-6.472002501,-0.313735906,-0.961977567,0,-15,-5.686227424
-0.9740851,-0.670740184,-1.273953268,-1379.825543,-0.69428806,-0.68955997,-1.254631094,-6.779828094,0.002264873,-0.060657666,-0.097678809,0.474453003,-5.797586316,-3.353701578,-8.636591029,-0.457173777,-1.023078348,-0.445603317,-23,-12.53930984
-0.9740851,-0.670740184,-1.273953256,-1457.197984,-0.687459561,-0.682921843,-1.246619741,-6.779962368,0.012032521,-0.092479537,-0.087964317,0.474636349,-5.972122886,-3.353701578,-8.636591029,-0.456963756,-1.023456025,-0.444107781,-23.5,-12.9228849
-0.9740851,-0.670740184,-1.273953256,-1534.464713,-0.680951119,-0.676596302,-1.238985083,-6.780090532,0.020794719,-0.122821302,-0.079099371,0.474130326,-6.13785885,-3.353701578,-8.636591029,-0.456828714,-1.023759537,-0.443613639,-24,-13.30619594
-0.973958576,-0.670253622,-1.273651655,-1465.080538,-0.688633542,-0.687405817,-1.250518463,-6.776783652,-0.041832861,-0.107501921,-0.10770502,0.430664063,-6.004428434,-3.353701578,-8.636591029,-0.463259516,-1.031363991,-0.454786479,-23,-12.58965554
-0.973832052,-0.66976707,-1.273383755,-1395.583729,-0.69656683,-0.698577041,-1.262434184,-6.773432045,-0.114416137,-0.092170201,-0.141671347,0.378008378,-5.863797183,-3.353701578,-8.636591029,-0.468769117,-1.037794793,-0.459559721,-22,-11.87310982
-0.9740851,-0.670740184,-1.273953256,-1611.632762,-0.674740752,-0.670561784,-1.23170117,-6.780212993,0.028664749,-0.151783285,-0.070995104,0.473039777,-6.295440475,-3.353701578,-8.636591029,-0.456712501,-1.024041163,-0.442606762,-24.5,-13.6892505
-0.974921022,-0.669330828,-1.273943038,-1473.653179,-0.689789473,-0.691823244,-1.254358464,-6.773706141,-0.085540427,-0.122900332,-0.129109901,0.398010838,-6.039562209,-3.353701578,-8.636591029,-0.467318651,-1.036418859,-0.460210403,-22.5,-12.25623735
-0.973958426,-0.670184702,-1.272052456,-1620.201255,-0.675955415,-0.67492911,-1.235530112,-6.777169661,-0.008124342,-0.165841153,-0.088320138,0.433750193,-6.328911153,-3.353701578,-8.636591029,-0.463008262,-1.031949128,-0.453285459,-24,-13.35558716
